,City,LocType,NO2,SO2,Sampling.Date,State
0,Hyderabad,RIRUO,33.233333333333334,18.133333333333333,1998-01-01,Andhra Pradesh
1,Hyderabad,RIRUO,30.900000000000002,18.366666666666667,1998-02-01,Andhra Pradesh
2,Hyderabad,RIRUO,33.93333333333333,19.233333333333334,1998-03-01,Andhra Pradesh
3,Hyderabad,RIRUO,19.2,4.966666666666667,1998-10-01,Andhra Pradesh
4,Hyderabad,RIRUO,29.3,6.633333333333333,1998-11-01,Andhra Pradesh
5,Hyderabad,RIRUO,32.833333333333336,17.433333333333334,1998-12-01,Andhra Pradesh
6,Hyderabad,RIRUO,32.2,8.933333333333334,2000-01-01,Andhra Pradesh
7,Hyderabad,RIRUO,30.333333333333332,19.7,2000-02-01,Andhra Pradesh
8,Hyderabad,RIRUO,50.300000000000004,16.1,2000-03-01,Andhra Pradesh
9,Hyderabad,RIRUO,21.23333333333333,11.466666666666667,2000-04-01,Andhra Pradesh
10,Hyderabad,RIRUO,25.6,13.566666666666666,2000-05-01,Andhra Pradesh
11,Hyderabad,RIRUO,25.2,15.433333333333334,2000-06-01,Andhra Pradesh
12,Hyderabad,RIRUO,19.366666666666667,12.733333333333333,2000-07-01,Andhra Pradesh
13,Hyderabad,RIRUO,,,2000-08-01,Andhra Pradesh
14,Hyderabad,RIRUO,30.233333333333334,10.333333333333334,2000-09-01,Andhra Pradesh
15,Hyderabad,RIRUO,43.4,13.466666666666667,2000-10-01,Andhra Pradesh
16,Hyderabad,RIRUO,48.6,13.566666666666666,2000-11-01,Andhra Pradesh
17,Hyderabad,RIRUO,64.66666666666667,16.53333333333333,2000-12-01,Andhra Pradesh
18,Hyderabad,RIRUO,55.6,12.833333333333334,2001-01-01,Andhra Pradesh
19,Hyderabad,RIRUO,48.93333333333333,15.966666666666667,2001-02-01,Andhra Pradesh
20,Hyderabad,RIRUO,33.199999999999996,15.166666666666668,2001-03-01,Andhra Pradesh
21,Hyderabad,RIRUO,32.16666666666667,13.533333333333333,2001-04-01,Andhra Pradesh
22,Hyderabad,RIRUO,33.233333333333334,15.3,2001-05-01,Andhra Pradesh
23,Hyderabad,RIRUO,31.7,17.966666666666665,2001-06-01,Andhra Pradesh
24,Hyderabad,RIRUO,37.5,23.099999999999998,2001-07-01,Andhra Pradesh
25,Hyderabad,RIRUO,26.133333333333333,2.466666666666667,2001-08-01,Andhra Pradesh
